,x,tag1,tag2,tag3
1,Better guidelines,guidelines,,
2,I didnt find any barrier on cpputest.,,,
3,Have a github style pull request system backed up with online project contribution guidelines and expectations.,guidelines,,
4,,,,
5,,,,
6,Appreciate all contributions. There are numerous projects on Github where contributions aren't reviewed at all.,compassionate,review process,
7,"The biggest barrier is understanding the code you're contributing to. If anything, enforcing readability and modularity standards in the code itself.",code quality,,
8,Guideline how/where to write unit cases.,guidelines,,
9,,,,
10,Reply to pull requests in a timely fashion.,responsiveness,,
11,,,,
12,To many non reviewed or refused PullRequests,availability,review process,minimize queue
13,,,,
14,none,,,
15,Include good guidelines on how to get started and how to get feedback on changes.,guidelines,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,Welcoming atmosphere. Contribution guidelines. Replying to pull requests promptly.,compassionate,guidelines,responsiveness
24,,,,
25,Be nice to people,compassionate,,
26,Activelly process pull request and deal with issues in the issue tracker,responsiveness,,
27,"They should mark the open issues with the level of difficulty, like these issues are easy and beginners can resolve them, these have intermediate level of difficulty.    Repo owner should be available on various channels to discuss and communicate.    Code should be well documented.",task list,availability,code quality
28,,,,
29,clear guidelines + tests + travis,guidelines,continuous integration,
30,,,,
31,Encourage them to contribute by accepting/reviewing pull requests,compassionate,,
32,Good documentation.  Responsive feedback from committers.,documentation,responsiveness,
33,"Provide clear guidelines on coding style, best way to contribute and best way to contact existing contributors. Preferably run tests (including coding style ones) automatically when a pull request is sent to save everyone's time.",guidelines,continuous integration,communication channels
34,More docs on contribution process,guidelines,,
35,,,,
36,"* clearly outline their submission process  * indicate good areas for new contributors to work on (this is very hard to keep up-to-date as it depends on what other members are currently working on, as well as which tasks have low entry requirements. i've never seen anyone do this well)  * provide a clear system for submission review and feedback  * respond to new contributions as quickly as possible.",guidelines,task list,responsiveness
37,Having good contribution guidelines and present project owners / maintainers ...,guidelines,,
38,Give detailed responses to PRs as to why it might not be accepted.,,,
39,,,,
40,"Simple, clear pages on their web site explaining what they want, their guidelines, and how to use GitHub/PR.",guidelines,,
41,,,,
42,help with writing tests and code formatting,compassionate,,
43,"Clear contribution guidelines, specifically relating to clear license language (and selecting an effective license); Review pull requests in a timely manner",guidelines,responsiveness,licensing
44,,,,
45,Document both the public API and the code itself  thoroughly.,documentation,,
46,,,,
47,,,,
48,Documentation,documentation,,
49,be active and keen,availability,compassionate,
50,Be friendly when receiving badly formatted Pull Requests.,compassionate,,
51,Have the different communication channels clearly described in the README.md file.,guidelines,,
52,"Create a short guide how to contribute, including small open tasks (LHF - low hanging fruits).",guidelines,task list,
53,,,,
54,"Contributor Guidelines, Readme how to setup for development",guidelines,,
55,Documentation can just about always be improved- it can be a bit intimidating to contribute to a project without confidence that you know exactly what is going on from the docs.,documentation,,
56,,,,
57,"Personally: get feedback on pull requests promptly,  or get feedback on pull requests at all   without requiring face-to-face meeting    In general:  Provide a wiki page, how to build the project and contribute guidelines (this is done by the Singular project)  -Organize workshops or tutorials for new contriburors.",responsiveness,guidelines,compassionate
58,"Provide helpful readmes, newbie-friendly contributor guidelines, thorough documentation, and possibly even tailor the project itself to new contributors (e.g. by basing it on very simple-to-learn languages).",documentation,guidelines,
59,"Easy navigation to ""how to get started,"" PR formatting/ style guides.",guidelines,,
60,more/better documentation,documentation,,
61,"Have clear project documentation, goals and guidelines.",documentation,roadmap,guidelines
62,"Good guidelines, step by step instructions for project and test set up.",guidelines,,
63,,,,
64,They could make clear and concise contribution guidelines and build processes.,guidelines,,
65,,,,
66,More advertisment about what is needed. More documentation,task list,documentation,
67,Welcome them better,compassionate,,
68,,,,
69,Clear Contribution Guidelines. Issue Tracking System,guidelines,,
70,"speed up releasing new version of project. Project is split into ""core"" and ""plugins"" and current ""stable"" core branch is more than 2 years old and it is frozen to features as well as to bug fixes.",architecture to fit contributions,,
71,,,,
72,Respond quickly to pull requests,responsiveness,,
73,"Maintain a ""positive"" culture; be friendly, polite etc",compassionate,,
74,Contributing guidelines. Clarity on setting up dev environment and running tests.,guidelines,development environment,
75,"I think the most important thing projects could do to reduce barriers for new contributors are    a) real-time feedback over IRC or some such channel.     b) Minutely detailed instructions about setup of a development environment    There is always an ""activation energy"" involved in starting any new project, and most open source project have this energy barrier set too high.",communication channels,development environment,
76,"Mark Issues  for easy access, have a list of features that are needed but none of the current developers has the means to address them",task list,,
77,"Give helpful advice on PRs, involve new contributors in code review and merging as early as possible.",compassionate,responsiveness,
78,,,,
79,,,,
80,"Maintain clean and up-to-date documentation regarding architecture, planned changes or direction of the development. Describe common working environment setup (e.g. for testing). Have a large-enough reviewers base to handle pulls shortly after they are submitted (days rather then months).",documentation,,responsiveness
81,"- Introduce a ""newbie"" category in their issue tracker. This tag marks small changes that can be used to get to know the project.    - Good documentation",task list,documentation,
82,They should not reduce barriers for new contributors. A project should not encourage new contributors just for the sake of it.,nothing,,
83,Maybe a guideline improvement directly on the repository to help new contributors during first pull requests.,guidelines,,
84,"Good docs and guidelines, quick PR processing.",documentation,guidelines,responsiveness
85,Lack of response to issues and/or pull requests.,responsiveness,,
86,,,,
87,"Document a handful of ""success stories"" among PRs, which newcomers should use as reference.",examples,,
88,,,,
89,,,,
90,"Nothing - if people are to scared to face ridicule or scorn for a possible crappy contribution, they should find another line of work. This is Open Source - the whole world is listening!  The ridicule/scorn isn't personal - who (should) care what some random dickhead in a far off place thinks of you!?",nothing,,
91,"Do better sourcecode documentation and structure. Most of the time I decided not to contribute to a project was the barrier I couldn't understand the code and/or its structure.   It never happened to me to make changes, which got declined because of project managment bureaucracy.",code readability,documentation,
92,Provide documentation in the source code and comments or easily readable code.,documentation,code readability,
93,Dont know,,,
94,,,,
95,,,,
96,,,,
97,"Use commons or interesting tools (programming languages, issue trackers, revisions control systems, etc). Have clean code. Had good docs. Have automated tests and clear instructions on how to use them (preferably in the readme).",code quality,documentation,testing
98,haven't run into any yet in my experience.,nothing,,
99,Respond faster to issues and pull requests. Provide guidance on how to contribute. Be more lenient on accepting pull requests.,responsiveness,compassionate,
100,Label tasks that are appropriate for new contributors.,task list,,
101,,,,
102,Clearly document contribution guidelines.,guidelines,,
103,,,,
104,The code review process could be better - easier to get someone to review on a timely fashion.,responsiveness,,
105,Categorize their issues by component and difficulty with some hints about what might make a good PR.,task list,guidelines,
106,"Helpful, experience PR reviewers. Good roadmaps and easy to run tests.",review process,roadmap,testing
107,,,,
108,keep contributor guidelines updated with latests changes in tools/library used to develop the app.,guidelines,,
109,"Have clear objectives, contribution guidelines and be friendly",roadmap,guidelines,compassionate
110,"They should have clear contributing guidelines, it's very frustrating when during you firsts PRs the reviewer starts asking for things that could/should be left clear in the guidelines (coding style, minimum percentage coverage for new features, etc.)",guidelines,,
111,,,,
112,Ensure that patch submission process isn't overly complex for people making simple/one-off changes,review process,,
113,Better documentation,documentation,,
114,,,,
115,- Help with positive feedback to get the required quality.   - Automated builds to run the tests.,compassionate,automate builds,
116,,,,
117,"Maintaining an issues list with low-hanging fruit (like documentation, small bugs, etc) encourages folks who might otherwise be intimidated to contribute.",task list,,
118,,,,
119,I'm not really sure what barriers there are?  I guess you just find a project that speaks to you.,nothing,,
120,"1. accept pull requests to the default branch.  2. better testing infrastructure, e.g.: the proper travisci setup.  3. follow some code standards.",review process,continuous integration,code quality
121,"Short and precise text on guidelines.  Have IRC for easy availability and discussions, preferably hooked up to Travis",guidelines,communication channels,
122,Contributor guidelines and tools to check that contributions match said guidelines,guidelines,continuous integration,
123,"Public project roadmaps would be helpful, contribution guidelines are always welcome but not really necessary.",roadmap,,
124,Have more people reviewing and merging pull request. I think that helps new contributors by showing that anyone is free to do it.,review process,,
125,"increase communication, add ""achievement system""",communication channels,,
126,,,,
127,Host their code on github and allow pull requests,,,
128,Maintain a list of low hanging fruits.,task list,,
129,,,,
130,Choose a Codesite which allows different DVCS to be used. Clear description on main/maintainance branches,,,
131,"Give ""easy picks"" issues to contributors to help them entering in the code and contributing",task list,,
132,,,,
133,They should welcome to any developer regardless of their background or level of experience.,compassionate,,
134,,,,
135,,,,
136,,,,
137,"Clear guidelines, (any) fast response.",guidelines,responsiveness,
138,,,,
139,,,,
140,,,,
141,easy IDE setup procedure,development environment,,
142,"Many Unit Tests, Guidelines for contribution",testing,guidelines,
143,,,,
144,,,,
145,"Be more accepting towards pull-requests that don't conform to the guidelines. I created PR for issues that are blocking me. Not following the guidelines might make it unsuitable for the main project, but that shouldn't mean that the burden of conformance is on me. Anyone could base a new PR off of mine.",,,
146,"* Easy set-up instructions to get local dev environments set up.  * Clear project guidelines and coding conventions.  * Clear communcation channels (IRC, mailers) set up for support if needed",development environment,guidelines,communication channels
147,"Make code as modular as possible, set up integrated builds, actively comment on and integrate pull requests.",architecture to fit contributions,automate builds,responsiveness
148,"clear guidelines for contributing, clear roadmap",guidelines,roadmap,
149,,,,
150,Accept patches over email :),,,
151,Better documentation and start-up procedures.,documentation,development environment,
152,,,,
153,mentoring,compassionate,,
154,"I find Good communication is a key factor. Even just acknowledging a PR is good. PR comments / feedback help a lot. If something is low priority just say so, don't just ignore it.",communication channels,compassionate,
155,,,,
156,"Using code standards, being willing to merge pull requests",code quality,compassionate,
157,"Better responses on pull request (write critics if my contribution is bad and why and what to do next time), and have all instructions and rules (and links with instructions and rules) in one place (for example readme.txt)",review process,guidelines,
158,Make sure PR are reviewed quickly. Best often accept. If not explain why rejected.,responsiveness,review process,
159,,,,
160,,,,
161,1) code convention guide lines and contribution guide lines should be clear.  2) give some guide lines for understnad the project if it is a big project.  3) Able to communicate with main developers before starting to any new issue.,guidelines,documentation,communication channels
162,have an easy-pick label,task list,,
163,Create a list with todo issues (maybe by tracking them in an issue tracking system) and labeling them with a difficulty and priority level,task list,,
164,,,,
165,,,,
166,,,,
167,communicate in a wellcoming manner,compassionate,,
168,,,,
169,"Make it clear what kind of contributions would be desired from contributors. Bugs to fix, ideas for new features planned or documentation needed for existing ones.",guidelines,,
170,Provide clear guidelines on how to contribute. Zeromq is a good example.,guidelines,,
171,create documentation as clear as possible to support new contributors,documentation,,
172,,,,
173,Prioritise responding to Pull Requests (not allow them to get stale),responsiveness,,
174,Clean Code and Documentation.,code quality,documentation,
175,good documentation,documentation,,
176,,,,
177,,,,
178,"Good documentation, and code more API friendly",documentation,architecture to fit contributions,
179,Guidelines,guidelines,,
180,No idea.,,,
181,,,,
182,,,,
183,,,,
184,"Dedicate more time to documentation and ""quick start guides"" (i.e. if the project is hard to build and run, then I'll move on).  Though having more contributors is not necessarily a good thing.",documentation,,
185,"issues under ""newbie"" tag",task list,,
186,Project Aims in Readme and Contributor guidelines are very useful.,roadmap,guidelines,
187,Describe how to build a test environment. It's often hard to run the tests for example.,development environment,,
188,,,,
189,Make it very clear where help is needed,task list,,
190,Patient mentoring. (Requires nurturing developer community.),compassionate,,
191,,,,
192,,,,
193,"Comprehensive test suite, e.g. Travis CI.  Fast response from project owner",continuous integration,responsiveness,
194,Highlight (and simplify if possible) the steps required to get the project up and running locally,development environment,,
195,,,,
196,,,,
197,Document their preferred procedure,guidelines,,
198,existence of project roadmap and contributor guidelines,roadmap,guidelines,
199,"Use community-established infrastructure, like github and its pull requests, submitting patches via email is so last-century!",,,
200,"Offer introductions to systems like GitHub, there are often people willing to take part in a project when it comes to translations of apps (I can only speak for this field, as I'm only contributing translations), but many don't understand the complexity of GitHub.",compassionate,,
201,"Automate fully the build process, following common source/code structure/layouts, stable test suites.",continuous integration,code quality,testing
202,"Engage in positive, responsive discussion in issue queues as often people asking questions may take a stab at contributing to fix their own issue. Giving them a positive first experience goes a long way.",responsiveness,compassionate,
203,"- Use irc channel and have some member of the core team there to give guidelines to new programmers wanting to contribute.    - Have the architecture of the project adequately documented.    - Have an intuitive issue tracking process. For example, not to assign all issues to the project lead, but rather leave them unassigned so others can have a pick from that list.",communication channels,architecture to fit contributions,review process
204,- document and organize the code  - maintain a TODO list,documentation,task list,
205,,,,
206,,,,
207,,,,
208,,,,
209,"Mostly: a robust and easy-to-setup build. Also: fast feedback, stable tests",development environment,responsiveness,testing
210,,,,
211,1.Proper Documentation  2.Active IRC and mailing lists.,documentation,communication channels,
212,,,,
213,Make sure contribution process and guidelines are in a prominent place.  Give quick feedback on new contributions.,guidelines,responsiveness,
214,"provide list of features to develop with acceptance criteria, provide clear guidelines",task list,guidelines,
215,Provide their own guidelines for contributors.,guidelines,,
216,Spend all their time cleaning up bad contributions. (The current barriers for new contributors are appropriate.),,,
217,,,,
218,"Positive feedback, quick feedback",compassionate,responsiveness,
219,"Clear roadmap, contribution guidelines and list of things needs contribution",roadmap,guidelines,task list
220,more simple process,review process,,
221,"Really, I don't see any barrier :)",nothing,,
222,,,,
223,"Keep the list of issues clean, answer swiftly to every pull request, categorize them, and always explain the reasons for not merging a pull request.",responsiveness,,
224,"Have the contributor guidelines, explain the source code so people feel accepted and are able to understand it fast.",guidelines,compassionate,
225,,,,
226,"guidelines, tutorials, good test coverage",guidelines,examples,testing
227,,,,
228,,,,
229,,,,
230,,,,
231,"Lower the barrier for 'new comers', providing a set of easy bugs to start working on. Provide a positive environment, for example provide a good code review on a PR where the quality is below par.",task list,compassionate,
232,Existence of contributor guidelines,guidelines,,
233,,,,
234,Detailed roadmaps,roadmap,,
235,Respond to pull requests in a timely manner,responsiveness,,
236,"Documentation on contributing, installing, roadmap, explaining how to communicate/propose ideas.  Automate builds both for dev machines and hooks for PRs.  Provide feedback on issues/PRs ASAP to contributors.",guidelines,automate builds,
237,,,,
238,"Barriers:    Lack of information, expecting adherence to stringent standards from programmers at random levels of experience / patience and, difficulty in testing or submitting code for review.    Solutions:    Use Github to accept pull requests and track issues. They have the absolute best integration of internet ""social coding"" tools and GUI driven desktop applications. If git is not used within the organization then keep the code hosted on Github in sync with whatever is being used internally.    Acknowledge new pull requests and give an estimated time when it will be reviewed. When I see that project maintainers haven't responded to multiple issues and pull requests I assume the project is dead or that my work will be for nothing.    If there are code formatting guidelines, make sure the project maintainers have access to code formatters that can automatically reformat code submitted. Not every editor will support writing code in the exact format requested but many of them can create legible code. Most languages have tools that will reformat code to specifications so, things like ""tabs vs. spaces"" and ""end of line character(s)"" shouldn't even be an issue.    If documentation is required, require it in code comments or plain text files and generate documentation in other formats from that. I've never looked at code and wished it wasn't documented so much. I've never been upset that documentation was generated from the contents of code comments. I have been put off by projects demanding documentation in anything other than plain text or HTML. I mean, what does learning XUL, markdown, jade, less, sass, mustache, etc. have to do with anything? Now, if there's a template for docs and it's loaded into an online editor like CKEditor or a web form, that's awesome too.    Document the internal workings and intentions of the code in the project. The larger the project, the more this is needed. Nobody is going to even attempt to work on a bug if they have to parse 10,000 lines of code mentally, before being able to discover where to begin. Use a table of contents, chapters, sections, etc. and subheadings to break the doc down into logical chunks of information. A poorly formatted 10,000 line document is just as bad as undocumented code.    If the project uses a build system, do everything possible to package up all the dependencies and create a virtual machine or an installer. Barring that, write clear instructions on setting everything up and make it simple to follow. Nobody in their right mind wants to become an expert in some ancient code versioning system, custom compiler, dodgy config files, and language hacks, just to be able to build a project.    Give developers time to answer questions about the code. If a company is embracing open source and accepting contributions from strangers, it will only help them to provide support to the community which is providing free labor. I see it happen all the time: someone reports a bug and asks a few questions about the internal workings of a project, doesn't get an answer, and finds some other means of solving their own problem. Usually they solve their own problem by using a different library, project, program, etc. If there were someone answering questions in a timely fashion then perhaps the person asking would see the solution as an intellectual challenge or something simple to implement.",,,
239,Simple and clear instructions about the process.,guidelines,,
240,"1. have a strong goal  2. Descriptive inline comments  3. active  4. polite, but through code-review",roadmap,documentation,responsiveness
241,"Probably take a friendly tone and offer to walk new contributors through the process. Once familiar the Pull Request system becomes almost second nature, but it can be a large barrier for potential contributors. Helping break that down has brought some (turned out to be quite skilled) contributors to our project who otherwise might have been put off by the process, or",compassionate,compassionate,
242,,,,
243,Encourage documentation-only PRs by acting on the quickly and encouraging the author (even if the PR needs further work).,compassionate,,
244,,,,
245,Improve the contributors guideline,guidelines,,
246,,,,
247,1. Classify outstanding issues according to expected breadth of code-base knowledge to fix.  2. Veteran contributors personally offer code reviews to beginning contributors.,task list,compassionate,
248,"Not sure.  Most of the projects I've worked on used Github as an online interface, but most of the discussion and planning was carried out face-to-face.",nothing,,
249,,,,
250,,,,
251,"Create/publish contribution guidelines. Besides that, projects with a good test coverage are easily to learn when you are starting to contribute.",guidelines,testing,
252,,,,
253,"Clear guidelines for pull requests, being up front with what pull requests will be accepted/considered/rejected",guidelines,compassionate,
254,"Have clear guidelines for contributing, and a good list of what issues need to be picked up/priority board.",guidelines,task list,
255,Refer to an easy and quick to grasp documentation. Point to important tools to work with and organize code. Assign easy tasks of limited scope to new contributors to allow them to familiarize themselves with the basic concepts.,task list,responsiveness,
256,"Provide small tasks to get started, never discourage in any way",,,
257,,,,
258,Tests and issue tracking,testing,,
259,,,,
260,,,,
261,Full CI system. Better contribution guideline. More timely merges.,continuous integration,guidelines,
262,,,,
263,"active maintainership, clear communication, set aside ego.",availability,compassionate,
264,,,,
265,Realy comment on pull requests and not let them stay open forever,responsiveness,minimize queue,
266,,,,
267,"Write good documentation, especially around PRs!",documentation,,
268,"Much more user-friendly tutorials; for example, the gerrit system at Wikipedia tech labs has AWFUL user-friendliness.",examples,,
269,Have contributors be available in person at meet ups. Sometimes people just need a friendly face.,compassionate,,
270,Appoint an experienced and friendly code reviewer or mentor for new coder/contributors.,compassionate,,
271,Quick and systematic reviewing process.,review process,,
272,"Provide comprehensive documentation, while simultaneously reassuring users to ""go for it"" if they want to contribute, as opposed to the ""RTFM"" attitude that some projects express through their guidelines/documentation.",documentation,compassionate,
273,,,,
274,"make contributing and reviewing as easy as possible, e.g. automatic testing",testing,,
275,,,,
276,Keep pull requests pending minimal.,minimize queue,,
277,"Clear documentation for contributors, fast response to questions and pull requests.",guidelines,responsiveness,
278,"As long as they follow most guidelines that are here listed, that should be sufficient.    This article presents some important information about this:  http://arxiv.org/abs/1301.7064",guidelines,,
279,,,,
280,Be more receptive.,compassionate,,
281,Be more proactive in responding to pull requests and issues.  No response at all is the most demoralizing thing.,responsiveness,,
282,"1) have a solid test suite that's easy to run.  2) In the Readme, include clear instructions for setting up a local dev copy of the code & running the tests. Keep those instructions up to date.",testing,development environment,
283,be more responsive.,responsiveness,,
284,"Be clear about their activity and interest in the project.  Maintainers are the gate keepers for pull requests, and communication with contributors is essential",roadmap,,
285,Be more open to contributions from members of the community.,compassionate,,
286,"An example pull request in compliance with guidelines will help a lot for new contributors to get a hang of the corrrect way of proposing changes. Also, unifying the discussion channels will reduce duplicate efforts. Sometimes its hard to keep up with mailing list, issue tracker and IRC discussions.",examples,communication channels,
287,Make it easier people to contribute by step by step doc,guidelines,,
288,,,,
289,Proactively communicate and encourage anyone who does send a pull request.,compassionate,,
290,"Can't think of anything, it's as streamlined as possible (for new developers... I personally would enjoy having commit rights)",nothing,,
291,Give clearer instructions for development environment setup and other contributor guidelines.,development environment,guidelines,
292,,,,
293,Clear contributor guidelines.,guidelines,,
294,Write good codestyles,documentation,,
295,,,,
296,Accept pull requests fast.,responsiveness,,
297,Helpful documentation to get started with hacking on the project,development environment,,
298,Communicate claerlly how to contribute and give feedback to contributors,guidelines,review process,
299,explain how to setup the project,development environment,,
300,Clearly communicate project shot term & long term goals.,roadmap,,
301,,,,
302,Write contribution (pull request) guidelines.,guidelines,,
303,,,,
304,it's all about communication; if my contributions are not valued I don't come back.,compassionate,,
305,Having clear expectations about code reviewing (what do the repo admins expect) and a fast processing of pull requests.,compassionate,responsiveness,
306,,,,
307,Less talk - more work.,,,
308,Provide contributing guidelines,guidelines,,
309,,,,
310,Give feedback to each new pull request/issue so people feel involved. If I see there are comments for each pr I am much more motivated because my work will matter in a way.,review process,compassionate,
311,,,,
312,"good documents, and active communicate.",documentation,communication channels,
313,"Not create ""favorites"" for contributers and have a clear goal/road map.",roadmap,,
314,Pull Requests languish in the inbox. There is no incentive for project core developers to review it. I would be happy to pay money or bitcoins to incentivise review & constructive feedback towards getting my pull requests accepted.,minimize queue,,
315,,,,
316,Dunno,,,
317,easy setup and tests,development environment,testing,
318,Not sure lowering barriers is a good thing. If people are good at programming they will submit pull requests no matter what.,,,
319,"1) Step by step guidelines for new contributors.  2) Frequent code reviews. New contributors get discouraged when they don't hear anything regarding their contribution for long time. Waiting for 2 weeks is normal, but I've experience with teams who reviewed my contribution after 1.5 months of its submission. I lost interest in that project due to their slow code reviews.   3) Clear information about the pre-requisites for contributing to the projects, like languages, libraries you need to know for contributing.  4) Tagging of issues on the basis of their difficulty level. This'll certainly help newbies.",guidelines,responsiveness,development environment
320,"Document how to do common Git tasks - rebase, cherry pick. Demo how to include PHPtest",documentation,,
321,,,,
322,"I believe that for simple patches is to split the code in small components, so a person even if it doesn't understand fully the whole flow, it can either change a small piece, or copy/paste another clasa and add a similar class",,,
323,"CONTRIBUTING.md, picklists (low-hanging fruit, etc).",guidelines,,
324,,,,
325,"Use GitHub, have a clear roadmap.",roadmap,,
326,,,,
327,"I'm generally not negatively impacted by something related to a project to have me avoid contributing to it: a poorly maintained project may just needs help, so i'm at least going to approach this problem first.  Project maintainers have to be open-minded while keeping their vision, missing this would mean to miss new exciting and interesting possibilities.",nothing,,
328,,,,
329,It is very frustrating to work on code and never have it merged in so I think the most important thing is for potential contributes to indicate that theyd be willing to submit a PR for an issue they create and for project owners to engage in a discussion on the issue and indicate whether they would be likely to accept such a PR. Other than that I think contribution guidelines are important especially because there are a lot of great programmers out there who perhaps just arent that experienced with github pull requests or automated testings or the documentation process (for example the sphinx python doc builder library and rst format that cmf uses) and you want to reduce those barriers.,compassionate,guidelines,
330,"Point people at an example ""good"" pull request.  Maybe add testing guidelines and make the committing guidelines more clear.  I often find these are difficult to find.",examples,guidelines,
331,,,,
332,"Be more positive towards first-time contributors, though not if that compromises contribution guidelines (since these are key to maintaining the right community atmosphere).",compassionate,,
333,Proper documentation.,documentation,,
334,Tests and docs,testing,documentation,
335,"better categorize issues as wanted/not wanted, easy/hard, etc.",task list,,
336,Have any sort of point of contact.,communication channels,,
337,Good Documents and Perfect test case,documentation,testing,
338,"They should have a friendly discussion group. If the group ""tone"" is not friendly I don't contribute.",compassionate,,
339,"Projects must provide a good infrastructure for collaborative work (DVCS, issue tracker, CI, mail list, forum, wiki) and good documentation (user documentation, development documentation, codestyles, contributor guidelines).",development environment,documentation,guidelines
340,Just be clear in guidelines and welcome any contribution (that's the ice of OSS and most projects already to this),guidelines,compassionate,
341,"Active maintainers, merge pull-requests frequently, communicate priorities and roadmap",responsiveness,minimize queue,roadmap
342,Do not let patches go stale,minimize queue,,
343,continuos integration  active irc community  no open-core or company policying,continuous integration,communication channels,
344,- Write clear guidelines how to contribute  - Documentation how to set up a dev environment  - Good documentation of API  - Fast repsonse / feedback to pull requests,guidelines,development environment,documentation
345,Reducing the amount of different tools you have to use.,development environment,,
346,,,,
347,Suggestions of features that would be suitable for new contributors. Ability to pair program with a person who has been working on the project.,task list,compassionate,
348,"Good documentation (especially on the code structure, meta overview of the program), allow to easily ask (potentially stupid) questions.",documentation,task list,
349,ensure pull requests are processed in a timely manner,responsiveness,,
350,Have a clean contribution process and always keep an up-to-date list with TODOs.,,,
351,,,,
352,Provide good documentation on the intent and usage of the project and where it is headed.,roadmap,,
353,Fast response,responsiveness,,
354,Have someone assigned to mentor new contributors not familiar with the version control system and bug track system used by the project.,compassionate,,
355,,,,
356,Better documentation,documentation,,
357,,,,
358,Make some kind of a ToDo list for new developers to work on,task list,,
359,"Have a stated policy or promised protocol for dealing with PR's in a timely fashion. I.e., structured guidelines.",guidelines,,
360,"Reduce feedback delay for pull requests, accept anything that solves any bug.",responsiveness,,
361,Too strict patch submitting policies can be scaring,compassionate,,
362,Sort opened issues by difficulty level. Clearly specify low hanging fruit..,task list,,
363,Easy setup of dev env and good tests that are easy to run.,development environment,,
364,Maybe better documents / presentations on how Git and GitHub works.,compassionate,,
365,"Only rough and easily accessible guidelines (preferably in the README)  Have guidelines to keep the code clean and in a single, easy to learn style.",guidelines,,
366,,,,
367,,,,
368,,,,
369,,,,
370,,,,
371,,,,
372,,,,
373,Be more open-minded about new users and their ideas,compassionate,,
374,,,,
375,,,,
376,Understand how to think authors of project to do no harm.,,,
377,Contribution guidelines is a must. Responding to issues and pull requests is a must.,guidelines,,
378,,,,
379,,,,
380,Be kind to newbies :),compassionate,,
