,x,tag1,tag2,tag3,social,tools and model,code,noteworthy
404,"missing guidelines, unclear or non-existant test procedures",project compliance,testing,,,,1,
405,Preparing clear and vlean pull-request,code quality,self contained,,,,1,
406,"Being volatile, when some of my PRs need something more, I tend to push them back to my ""TODO"" list.    The one major problem to me is that you have to replicate your local repository (the one on your computer) with the one on Github, synchronize branches at all times, etc..     Most of the time the Github fork is just a proxy between upstream repo and my local repo.",extra work,,,,1,,
407,understanding the codebase,understanding code base,,,,,1,
408,,,,,,,,
409,"Decide whether feature I am contributing is important enough to be in the project code, or is very specific to my needs.",predicting acceptance,big picture,,1,,,
410,Matching my coding style to the project's,project compliance,,,,,1,
411,"Finding how they are handled by the project. It's 100% ok for each project to have its own way to handle PR. However, there is not always a CONTRIBUTING file explaining everything.",project compliance,,,,1,,
412,not enough time,time,,,1,,,
413,"not knowing ""the big picture"" and how to get started propery so that you are later not frowned upon :)",understanding code base,big picture,,,,1,1
414,,,,,,,,
415,,,,,,,,
416,,,,,,,,
417,Some people will commit the same change that you offer in your PR rather than merging yours. This is egoistic and bad behavior imo.,egotism,,,1,,,
418,"No setup instructions  Not enough existing tests  Indecesive maintainers, community not involved in decisions",project compliance,testing,politics,1,,,
419,Understaning some other code mess.,understanding code base,,,,,1,
420,,,,,,,,
421,,,,,,,,
422,Work with people asking for a much higher quality in pull requests than in their own code,egotism,extra work,,1,,,
423,Figuring out how to adequately format the commit to remove any merge commits etc from the pull request.,github,,,,,1,
424,,,,,,,,
425,"Not having them merged quickly, leading me to work on many pull request at the same time, and managing long lasting pull requests.",responsiveness,,,1,,,
426,Fixing conflicts  obviously,conflicts,,,,1,,
427,I don't think my code would be accepted since someone would do better.,personal skills,,,1,,,
428,,,,,,,,
429,,,,,,,,
430,Git,git,,,,1,,
431,Meeting the code standarts - convincing about a new feature,project compliance,explain rationale,,1,,1,
432,Getting the pull request reviewed. It can take weeks for someone to review it.,responsiveness,,,1,,,
433,,,,,,,,
434,No real challenge...,,,,,,,
435,,,,,,,,
436,creating patches that are fitting for a general audience and not just scratch my itch,big picture,,,1,,,
437,"No reaction of the project leads when asking questions.  Not using Maven as the build tool, or not having all dependencies in the POM.  Using other tools besides JDK.  Using non-open-source libraries.",responsiveness,politics,,1,1,,
438,,,,,,,,
439,"Almost always PRs need maintenance (addressing comments, rebasing, etc). This usually doesn't take much time, but when you have a lot of PRs (e.g. around a dozen), it starts getting old VERY quickly. This gets exacerbated if PRs are stuck in the queue for long. No idea how it can be fixed, but that's essentially my only gripe.",responsiveness,extra work,,,1,,
440,"Unclear acceptance criteria, messy/difficult to run test suites",predicting acceptance,testing,,1,,1,
441,,,,,,,,
442,Dealing with desired git workflow.,project compliance,,,,1,,
443,,,,,,,,
444,Fear of not getting merged.,fear of rejection,,,1,,,
445,"Typically don't have many, other than the scenario described above",,,,,,,
446,"If a repository has just one or two people that control it, I am at their mercy.  If they don't communicate adequately, it's hard to stay motivated to contribute.",politics,communication,,1,,,
447,Finding something worthwhile to contribute.,big picture,,,,,1,
448,Being disciplined enough and monitoring the work of others to avoid duplicates.,awareness,,,1,,,
449,,,,,,,,
450,,,,,,,,
451,"Often times the project owner will misunderstand, or quickly dismiss, a pull request.",explain rationale,,,1,,,
452,,,,,,,,
453,,,,,,,,
454,,,,,,,,
455,Finding time for it,time,,,1,,,
456,Unresponsive maintainers,responsiveness,,,1,,,
457,"Wondering whether my work is ""done"" enough. It has helped to have a culture of submitting tentative pull requests and letting them ""cook"" (i.e. treat a pull request as a point for discussion).",predicting acceptance,,,,,,1
458,Time and priority of the maintainer.,responsiveness,time,,1,,,
459,,,,,,,,
460,Have the pull request ready before the next release.,responsiveness,,,1,,,
461,Time to work on complicated issues despite working full time.,time,,,1,,,
462,To understand the project layout and architecture,understanding code base,,,,,1,
463,none,,,,,,,
464,,,,,,,,
465,,,,,,,,
466,Large repo.,understanding code base,,,,,1,
467,,,,,,,,
468,"Managing merge conflicts, and then rebasing - I always seem to get it wrong with git.",conflicts,git,,,1,,
469,,,,,,,,
470,"if tests are missing, and even then, it can be difficult to know whether a change is really valid - how it perhaps affects some other part of the system that am not even aware of (if it's a foreign project) etc.",testing,impact analysis,,,,1,
471,Big backlog of other pullreqs which may get merged before mine and need to be manually rebased into my work.,responsiveness,conflicts,,1,1,,
472,,,,,,,,
473,"It is hard to be sure I'm not breaking something.  The projects I work on do not have very good test coverage.  We use Travis to run automated tests, but they only cover a tiny bit of our code.",impact analysis,testing,,,,1,
474,,,,,,,,
475,,,,,,,,
476,Language barrier. Describe case that I try fix.,communication,explain rationale,,1,,,
477,Waiting until the original author(s) get to it and convincing that the change is worth and sufficiently-well written.,responsiveness,explain rationale,,1,,,
478,"to get it finally merged, convince others, everything is okay",responsiveness,explain rationale,,1,,,
479,Slow or no reply,responsiveness,,,1,,,
480,,,,,,,,
481,,,,,,,,
482,none really,,,,,,,
483,"Rebasing old PRs. Tedious task mastering git-rebase, uh.",conflicts,,,,1,,
484,,,,,,,,
485,,,,,,,,
486,"Development environments are hard to setup, sometimes it takes days to have every dependency right",infrastructure setup,,,,,1,
487,Apathy,responsiveness,,,1,,,
488,,,,,,,,
489,"For certain projects, not knowing whether or not the code fits the project well.",project compliance,,,,,1,
490,Getting someone to look at the change (unless it's one of the projects I'm a key contributor in already).,responsiveness,,,1,,,
491,Sometimes it's hard to explain the need for some changes. Some teams will immediately reject them without analyzing them properly.,explain rationale,,,1,,,
492,None,,,,,,,
493,Ensuring that my change does not have unforeseen negative impact on other code.,impact analysis,,,,,1,
494,Contact with others contributors,communication,,,1,,,
495,,,,,,,,
496,Lack of effective communication,communication,,,1,,,
497,"I posted pull request, ( add optional mode ), but this is reject because this request not mutched. and after I create new project.",,,,,,,
498,"Keeping solutions from becoming overly complicated. Understanding the source of bugs. Not internalising feedback (i.e., taking criticism objectively rather than personally).",self contained,,,1,,1,
499,,,,,,,,
500,Determining coding styles and patterns that the project team prefers.,project compliance,,,,,1,
501,,,,,,,,
502,Developer ego.,egotism,,,1,,,
503,,,,,,,,
504,,,,,,,,
505,,,,,,,,
506,Not getting enough feedback,communication,,,1,,,1
507,"Sufficient testing (but it makes sense, anyway)",testing,,,,,1,
508,"In cases of major changes, the comunity doesn't generally respond to forum requests for comment, leaving a bit of uncertainty about overall acceptance of the changes.",predicting acceptance,communication,,1,,,
509,,,,,,,,
510,,,,,,,,
511,That the core developer is busy and won't act on the request simply for lack of time.,responsiveness,,,1,,,
512,Generally my age (13) can be a barrier.,personal skills,,,1,,,
513,,,,,,,,
514,Git being more difficult than coding.,git,,,,1,,
515,Seeing if someone cares anymore.,responsiveness,,,1,,,
516,,,,,,,,
517,,,,,,,,
518,A long response time means that I can't continue working on the issue until it is accepted or rejected.,responsiveness,,,1,,,
519,If there is insufficient test coverage to know if the change will break anything. Having pull requests stay open and ignored for a long time.,testing,impact analysis,,1,,1,
520,,,,,,,,
521,,,,,,,,
522,"Whether the project owner will adopt the code.  Often they either never respond or say ""i am trying to keep the code base lean""",predicting acceptance,responsiveness,,1,,,
523,None,,,,,,,
524,"The speed that the authors take any action on the PR (accept and merge, comment, etc.).",responsiveness,,,1,,,
525,making lots of docs and tests,testing,time,,1,,1,
526,"Politics, or project owners not wanting a fix or change, or not actively maintaining it.",politics,responsiveness,,1,,,
527,Maintainability changes and code cleanup changes are received with mixed acceptance. Some completely hate them and some understand the need.,politics,,,1,,,
528,when I can't use git or at least svn (though that arguably is no pull request then),git,,,,1,,
529,"When I make my codes I realy try think in a real use case for the pull request, if will help another programmers with those codes, and if my codes are really cool.",,,,,,,
530,"For non trivial changes, writing compact, descriptive text for the pull request.",explain rationale,,,1,,,
531,,,,,,,,
532,,,,,,,,
533,,,,,,,,
534,"Probably, comparing files line by line.",,,,,,,
535,,,,,,,,
536,Unconstructive / hostile maintainer attitude,egotism,,,1,,,
537,Updating pull request makes github losing comments when they are attached to commit.,github,,,,1,,1
538,The biggest challenge is having work for a day in some feature and not having any answer when you finally send the pull request.,responsiveness,,,1,,,
539,Lack of feedback for non-merged PRs.,responsiveness,,,1,,,
540,"Don't really, it's the easiest and fastest way I have found",,,,,,,
541,understanding the code of a new project,understanding code base,,,,,1,
542,Agreeing with the author,divergent opinions,,,1,,,
543,communicating with project owners,communication,,,1,,,
544,There are no big challenge because we discuss for difficult problem.,,,,,,,
545,,,,,,,,
546,Writing the code in the first place :),code quality,,,,,1,
547,Getting the project maintainers to respond.,responsiveness,,,1,,,
548,,,,,,,,
549,If someone else tackled the same problem but I just didn't find it.,awareness,,,,1,,
550,,,,,,,,
551,That really depends on the project.,,,,,,,
552,"Dealing with the lack of coding style in the target repo, e.g. having inconsistent style in the original causes conflicts and/or confusion if I decide to enforce formatting etc.",project compliance,,,,,1,
553,Not having correct guidelines,project compliance,,,,,1,
554,"Still to come, I think.",,,,,,,
555,,,,,,,,
556,,,,,,,,
557,,,,,,,,
558,None.,,,,,,,
559,comply project coding style,project compliance,,,,,1,
560,You can see that contribution to jckarter/clay was stopped suddenly because Joe started to work on Apple without any comments and some of my pull requests were ignored. The biggest challenge was to start contribution to other projects,responsiveness,,,1,,,
561,"Missing knowledge about inner workings of a project, leading to extra work (sometimes caused by missing documentation)",understanding code base,,,,,1,
562,"Making revisions after the pull request has been submitted.  If my proposed changes need revision, I only know of two options: a) simply add another commit onto the pull request or b) rewrite the history locally and force push to the pull request.    The problem with option a) is that when you merge to master, you're left with a bunch of small revision commits cluttering up the logs.  Stuff like ""Renaming this function"" or ""Fixing typo.""  The problem with option b) is that it can mess up the comments that are attached to a pull request.    I generally prefer option b) but I understand that some tools like Gerrit use a different system where the change is tracked through a ChangeId in the commit message and you can add to a change without cluttering the history in master.",github,,,,1,,
563,I want to make sure my code is of the quality that hundreds of experiences eyes will appreciate - this often is intimidating.,fear of rejection,,,1,,,
564,"Read others code and get understanding of the project design, do not break current functionality, keep pull request rebased",understanding code base,impact analysis,,,,1,
565,Not being familiar with project history and direction.  Delay in pull request handling.  Conflicting feedback on pull request.,understanding code base,responsiveness,communication,1,,,
566,Lack of feedback from project approvers/maintainers.,responsiveness,,,1,,,
567,Aim to what maintainer needs.,big picture,,,1,,,
568,1) Responsiveness of maintainers.  2) Code quality in the project.,responsiveness,code quality,,1,,1,
569,,,,,,,,
570,,,,,,,,
571,,,,,,,,
572,"There is a little entry barrier for people which didn't do distributed workflows previously, but it is easy to learn.",pull-based model,,,,1,,
573,,,,,,,,
574,Sometimes processing the pull request takes so long you have to rebase them again.,responsiveness,conflicts,,1,,,
575,,,,,,,,
576,"The new feature may not be of interest to most users of the code, even though you think it is. Some platform-specific issues may arrise that you can't test yourself because you don't have access to that platform. Pull requests may go unnoticed and you have to get attention for it.",predicting acceptance,responsiveness,,1,,1,
577,Getting my employer to approve it (may need legal review).,,,,,,,
578,,,,,,,,
579,My change may not have been done the way the project owner wanted.,project compliance,,,1,,,
580,,,,,,,,
581,,,,,,,,
582,,,,,,,,
583,Argument or dissent from the project maintainers.,divergent opinions,,,1,,,
584,Encouraging reviewers to take time to review the change,responsiveness,,,1,,,
585,,,,,,,,
586,Long discussions before merging.,divergent opinions,,,1,,,
587,"Asynchronous collaboration is awesome and having worked that way for multiple years, it's really the best way to develop.",,,,,,,
588,N/a,,,,,,,
589,,,,,,,,
590,Reponse time,responsiveness,,,1,,,
591,response time,responsiveness,,,1,,,
592,,,,,,,,
593,Finding my way around somebody else's source code.,understanding code base,,,,,1,
594,,,,,,,,
595,"figuring out testing expectations, and testing practices of the project. These are often assumed, even if contribution guidelines say ""Should have a test"".",testing,project compliance,,,,1,
596,,,,,,,,
597,,,,,,,,
598,"Adhering to generally accepted guidelines for working in a project (including tests, etc..) â€” just because I've never really worked in such an environment before, all my contributions so far have been small features added solely because I needed them.",project compliance,,,,,1,
599,,,,,,,,
600,"Sometimes, then I send changes via email, people promisses to do relavant changes, but they don't do so. This demotivates.",politics,,,1,,,
601,Making sure we don't break binary compatibility.,impact analysis,,,,,1,
602,Lack of tests,testing,,,,,1,
603,,,,,,,,
604,"Convincing the repo owner that my use case is valid, and vital.",explain rationale,,,1,,,
605,"Signing up for a mailing list, going through a manually curated submission process for creating accounts, or using a version control host that doesn't expose the code in a well-organized fashion are all negatives.",communication,,,,1,,
606,,,,,,,,
607,,,,,,,,
608,,,,,,,,
609,Not being able to figure how to run (or edit) the test suite (with travis-ci web client project),infrastructure setup,,,,1,,
610,,,,,,,,
611,Start to write code :),code quality,,,,,1,
612,Getting the person to review the change. Most people are lazy.,responsiveness,,,1,,,
613,"Communication with other developers. But since I contribute mostly to non-commercial free software, I can understand time pressure.",communication,,,1,,,
614,,,,,,,,
615,More spam,,,,,,,
616,bikeshedding,divergent opinions,communication,,1,,,
617,,,,,,,,
618,"When my own code depends on a PR, and I don't know if the PR will get accepted that causes uncertanty and stress.",predicting acceptance,,,1,,,
619,"Not necessarily a challenge, but not getting my pull request review within a week or two is really annoying.",responsiveness,,,1,,,
620,lack of context on a project might prevent me from seeing or following the correct solution path,awareness,,,,,1,
621,Not sure if it will be accepted,predicting acceptance,,,1,,,
622,,,,,,,,
623,,,,,,,,
624,Lack of time.,time,,,1,,,
625,Others are too busy to review my code.,responsiveness,,,1,,,
626,None,,,,,,,
627,"Updating pull requests if something went wrong (for example, when included unnecessary commit)",extra work,,,,1,,
628,Proper testing,testing,,,,,1,
629,Lack of action/review of the pull request.,responsiveness,,,1,,,
630,Using git without shooting myself in the foot.,git,,,,1,,
631,I'm don't know,,,,,,,
632,"git. I can work with svn, hg, cvs, rcs, bzr, but not git. I have to look up every command every single time. In fact, it's a reason not to contribute to a project.    The second biggest challenge is the pull request itself. With hg patch queues, I frequently edit the patchfile instead of the source. pull requests are too rigid for that.    rebasing is evil in the sense that you're in a vcs, yet it is extremely simple to loose your history without hope of recovery. Isn't that weird for a vcs? mq is not much better, perhaps evolve of hg is better.  On the other hand, I do prefer mq over rebasing. mq gives much more freedom in working. rebasing means you're changing a commit in the middle of a sequence, and you're immediately stuck with all kinds of merge mess that needs to be completed before you can do the next thing. Often I jump up and down in the mq patch queue all day, below 5-7 patches that have no hope of ever getting merged (they are old versions of the change I am making, a source of previous work to copy/peak from, but not good enough to ever make in the patch that will be submitted).",git,,,,1,,
633,null,,,,,,,
634,Pass the code review.,code review,,,1,,,
635,"Depend on the project.. some projects are not too open for different needs, so sometime you may need to fork and create a new projet to achieve your needs.",egotism,,,1,,,
636,Communicating front and back with contributors.,communication,,,1,,,
637,"I find it difficult to discuss in advance the changes, since the project is extremely pull-request oriented.",communication,pull-based model,,1,1,,
638,Lack of response.  Sometimes conflict of vision or beliefs.,responsiveness,divergent opinions,,1,,,
639,,,,,,,,
640,"Convincing others to check my pull requests before merge.  I may have permission to merge my changes on my own authority, but I don't like to do that because I cannot test my code on a wide variety of platforms.",responsiveness,,,1,,,
641,Git and GitHub learning curve.,git,github,,,1,,
642,"Different test results in different environments, not as familiar with test methodologies so I have a hard time creating appropriate tests.",testing,,,,,1,
643,Ignored by maintainer.,responsiveness,,,1,,,
644,Getting them processed in a timely manner.,responsiveness,,,1,,,
645,good knowledge of git,git,,,,1,,
646,none in particular,,,,,,,
647,"projects that the original maintainer has gone away for more than a few months. At this point, it is hard to know which fork is most current and can take over as being the mainline.",responsiveness,,,1,,,
648,,,,,,,,
649,In some projects style guidelines or testing setups are so idiosyncratic to make setup difficult.,infrastructure setup,project compliance,,,1,,
650,Code format,project compliance,,,,,1,
651,"Not being familiar with the tools involved -- not having used git before and not using it often enough means I find myself looking up commands, etc",git,,,,1,,
652,"Building upon the changes brought by the pull request, as I am not site the pull request will be merged.",,,,,,,
653,Support from the maintainer. Documentation isn't valued.,communication,,,1,,,
654,,,,,,,,
655,"espressomd/espresso is software that runs on single cores, GPUs and distributed memory architectures (supercomputers). It is nearly impossible to test every possible configuration and mistakes that only affect specific combinations of architecture, operating system, build system, compilers and libraries are easily overlooked.",infrastructure setup,testing,,,,1,
656,"If there isn't a good testing infrastructure in place, then I'm not sure how to contribute tests related to a pull requests.",testing,,,,,1,
657,,,,,,,,
658,"Attempting to maintain the project's code style and structure, if it differs from my personal preferences.",project compliance,,,,,1,
659,"Not being sure about certain small things in the code that I want to submit. Example: how the project owner want things to be named, if he/she's okay with using this method for solving the problem, etc.",project compliance,predicting acceptance,,1,,1,
660,,,,,,,,
661,,,,,,,,
662,"Github is not actively developing the feature set that contributors need, but is focusing on other areas instead. Example given: Currently there is no way to differentiate between pull requests which were closed but are not merged, and those which were merged. It makes it impossible to track your own progress if you have many pull requests which are closed and need additional work, but you're not manually keeping track of them. They bitrot and are not easily found through Github.",github,,,,1,,1
663,"Understanding the code base (e.g., how to run tests).",understanding code base,,,,,1,
664,Missing feedback,responsiveness,,,1,,,
665,"The feature I'm suggesting might not be wanted / the problem I tried to fix might not be a bug. That's why I discuss at least on IRC before starting to work on anything. If I can be 100% certain that my contribution is wanted (that's true for ElbertF/Wappalyzer), I skip that step and do not face challenges.",predicting acceptance,communication,,1,,,1
666,"When contributing to less active projects, it can be really frustrating to have a PR sit untouched for months, since by the time the author gets back to it, I may have given up on it and no longer care.  Another problem I've experienced in other projects is animosity.  Some authors are very aggressive, especially when they're told there's some perceived issue with their code.",responsiveness,egotism,,1,,,
667,,,,,,,,
668,the async communication can take a long time,responsiveness,,,1,,,
669,Availability of reviewers,responsiveness,,,1,,,
670,Getting the project to find the time to merge it.,responsiveness,,,1,,,
671,the timeliness of review by others.,responsiveness,,,1,,,
672,Code review + fixes time,code review,,,1,,,
673,No response/hostile project lead,egotism,responsiveness,,1,,,
674,time to respond.  Some projects aren't very active,responsiveness,,,1,,,
675,None,,,,,,,
676,,,,,,,,
677,Finding other people to review in a timely fashion.,responsiveness,,,1,,,
678,,,,,,,,
679,,,,,,,,
680,,,,,,,,
681,"Getting lost in a long list of pull requests, especially low quality ones",,,,,,,
682,,,,,,,,
683,,,,,,,,
684,PRs is not responded to,responsiveness,,,1,,,
685,,,,,,,,
686,,,,,,,,
687,n/a,,,,,,,
688,,,,,,,,
689,,,,,,,,
690,Delays in addressing  a PR means repeated rebasing/retesting.  Not all projects have travis setup on them.,responsiveness,,,1,,,
691,Understanding the entire codebase / testing if I'm working on a small piece.,understanding code base,,,,,1,
692,,,,,,,,
693,"Initially, the biggest challenge is to become familiar enough with the project architecture and roadmap to be able to contribute meaningful improvements",understanding code base,big picture,,,,1,
694,Programming...,code quality,,,,,1,
695,Lack of project owner's response.,responsiveness,,,1,,,
696,,,,,,,,
697,Merge conflicts when several people send large contributions for the same piece of code in a short period of time.,conflicts,,,1,,,
698,"Malaise and abandonment. Few things are more frustrating than opening a pull request and having it go nowhere. This is especially true when there's community support for the change, but the core team isn't active. I've even done some pull requests where the core team has reviewed the changes, but then just never gets around to merging.",responsiveness,,,1,,,1
699,No clear guidelines as to which branch to send the pull request to.,project compliance,,,1,,,
700,,,,,,,,
701,N/A,,,,,,,
702,,,,,,,,
703,,,,,,,,
704,Delays to review/merge forces me to maintain and rebase separate branches.,responsiveness,,,1,,,
705,,,,,,,,
706,,,,,,,,
707,,,,,,,,
708,Lack of clarity on how to test ones PR before submission.,testing,project compliance,,1,,,
709,,,,,,,,
710,"The biggest challenge is establishing a culture of using pull requests for code review or code signoff. Until that has been established, the pull requests are treated as inevitable rather than the proposals they are.",code review,,,1,,,
711,Understanding the code base and how a particular maintainer expects core code to function. Sometimes it's just understanding the purpose the maintainer has for the code.,understanding code base,,,,,1,1
712,Not knowing if the maintainer will eve see my PR.,responsiveness,,,1,,,
713,,,,,,,,
714,,,,,,,,
715,The supercommitter issue. The code you are modifying was probably written by the gatekeeper for the pull requests. They can be quite defensive about new people wanting to change their code.,egotism,,,1,,,1
716,None,,,,,,,
717,,,,,,,,
718,Find out if my contribution is relevant,big picture,,,1,,,
719,my programming skill,personal skills,,,,,1,
720,,,,,,,,
721,,,,,,,,
722,to have enough skills to contribute,personal skills,,,,,1,
723,,,,,,,,
724,,,,,,,,
725,No challenge,,,,,,,
726,,,,,,,,
727,to summarize the intent of the changes,explain rationale,,,1,,,
728,"I'd say the prior communication aspect would probably have to be the big one. Ensuring the person in charge of the project is on the same page with what's going to get done, that they're OK with the way I plan to do it etc.",communication,,,1,,,
729,,,,,,,,
730,,,,,,,,
731,To send code with high quality that exceed expectations,code quality,,,,,1,
732,,,,,,,,
733,Idiots and people with big egos,egotism,,,1,,,
734,,,,,,,,
735,Convincing the project owners that the pull request is useful,explain rationale,,,1,,,
736,"old comments tend to vanish after the branch is 'push --force', and there is no easy way to grab a branch's/pull request's comment history, which would be good to have for long-lived branches",git,,,,1,,
737,"This question is very general.  Difficult to answer in a general scope.    Technically, GH could improve the process of  creating PRs in some specific ways (e.g. branches) a little bit.    Code-wise? To contribute code that is too narrow in its use case (especially when contributing to a general purpose framework).",github,,,,1,,
738,some period of time when you don't know whenever 'core-team' has seen your PR,responsiveness,,,1,,,
739,Code has to be sparkling clean.,code quality,,,,,1,
740,Patch accepted :),,,,,,,
741,first pull request,,,,,,,
742,,,,,,,,
743,the language,,,,,,,
744,,,,,,,,
745,No known.,,,,,,,
746,,,,,,,,
747,"Inactive or uninterested maintainer. Often there is a single maintainer and (s)he away for a while or not interested in maintaining the project anymore. Sometimes a maintainer is uninterested (or even conflicted) about a certain pull request, presumely because the patch forces *them* to maintain the code afterwards.",responsiveness,,,1,,,
748,writing proper tests and my pull request being ignored,responsiveness,,,1,,,
749,Making sure you don't break anything,impact analysis,,,,,1,
750,Waiting for review,responsiveness,,,1,,,
751,git is somethimes not obvious especially in case of merge conflicts,git,,,,1,,
752,,,,,,,,
753,,,,,,,,
754,"having no answer, and not wanting to distrub coders too much",responsiveness,,,1,,,
755,On OSS I'm never that sure if a project team will actually look at or respond to my pull-request at all.,responsiveness,,,1,,,
756,comments are lost after rebase,github,,,,1,,
757,Lack of feedback: pull request is staying open without any reaction.,responsiveness,,,1,,,
758,,,,,,,,
759,Work like i'm want and have need features.,,,,,,,
760,"having it merged, if it includes deisgn changes",,,,,,,
